nb_resto, time_greedy, time_progdyn, time_local, capacity, filename, revenue_greedy, revenue_progdyn, revenue_local
10000 3135803182 3851153533 0 50892 WC-10000-100-10.txt 51455 64267 0
1000 7869110 89102119 0 9948 WC-1000-1000-02.txt 10254 15825 0
100 357361 331934 0 443 WC-100-100-08.txt 455 543 0
10000 1602237329 226371337 0 2745 WC-10000-10-05.txt 2781 3928 0
100 327705 186370 0 268 WC-100-100-05.txt 285 333 0
100 655922 56907 0 64 WC-100-10-06.txt 62 84 0
1000 18794641 169707106 0 20306 WC-1000-1000-04.txt 21413 28887 0
10000 958965568 137431113 0 1638 WC-10000-10-03.txt 1644 2546 0
1000 32180995 361698227 0 45353 WC-1000-1000-09.txt 45752 57428 0
10000 2554088352 3055744895 0 40062 WC-10000-100-08.txt 40607 52101 0
100 122500 76934 0 107 WC-100-100-02.txt 131 145 0
1000 22527393 29553910 0 3431 WC-1000-100-07.txt 3520 4519 0
100 347102 34715 0 32 WC-100-10-05.txt 34 46 0
1000 23226656 2695522 0 324 WC-1000-10-06.txt 323 449 0
100 371427 224352 0 310 WC-100-100-06.txt 346 412 0
100 199414 24556 0 22 WC-100-10-04.txt 21 31 0
10000 2218307028 2710276527 0 35299 WC-10000-100-07.txt 35405 46503 0
100 676531 57398 0 38 WC-100-10-07.txt 42 53 0
100 414689 162035 0 147 WC-100-100-03.txt 162 212 0
10000 2837980696 390461200 0 4941 WC-10000-10-09.txt 5027 6592 0
1000 13477885 13661349 0 1488 WC-1000-100-03.txt 1487 2176 0
10000 998393538 1156456623 0 14998 WC-10000-100-03.txt 15203 22303 0
1000 28796517 3695170 0 379 WC-1000-10-07.txt 382 511 0
100 807387 545184 0 525 WC-100-100-10.txt 583 659 0
100 463941 51166 0 56 WC-100-10-10.txt 53 71 0
1000 29502323 277207689 0 33969 WC-1000-1000-07.txt 34915 45548 0
1000 23699013 251691704 0 29882 WC-1000-1000-06.txt 30224 40415 0
10000 1246484839 184492957 0 2195 WC-10000-10-04.txt 2199 3245 0
100 449274 2730498 0 3736 WC-100-1000-08.txt 3848 4679 0
10000 673492246 7641755417 0 100327 WC-10000-1000-02.txt 101972 158020 0
10000 1285196525 15187051927 0 199351 WC-10000-1000-04.txt 200954 281865 0
10000 946035597 11187961042 0 148413 WC-10000-1000-03.txt 150207 219755 0
100 579799 3860751 0 5240 WC-100-1000-10.txt 5279 6294 0
1000 35320561 4322248 0 494 WC-1000-10-09.txt 501 662 0
10000 1606888169 1921341721 0 25041 WC-10000-100-05.txt 25380 34823 0
100 273514 29916 0 15 WC-100-10-03.txt 18 24 0
1000 39418738 387001345 0 49097 WC-1000-1000-10.txt 49512 61155 0
10000 349950224 396938539 0 5028 WC-10000-100-01.txt 5217 9207 0
10000 1307373914 1559692791 0 20234 WC-10000-100-04.txt 20396 28490 0
1000 18883658 24784702 0 2564 WC-1000-100-05.txt 2521 3445 0
10000 2819502734 3458048629 0 45744 WC-10000-100-09.txt 46081 58601 0
1000 28500973 297777259 0 38205 WC-1000-1000-08.txt 38405 50102 0
