nb_resto, time_greedy, time_progdyn, time_local, capacity
10000 3086528504 3871965282 0 50892
1000 7328767 80840837 79780680 9948
100 489336 340598 333915 443
10000 1618214789 217483265 0 2745
100 308317 201156 200105 268
100 445465 60984 56185 64
1000 12456101 164911384 165029083 20306
10000 970307915 129194328 0 1638
1000 29969388 365736064 364252525 45353
10000 2548321054 3156282502 0 40062
100 107862 76783 73487 107
1000 22507997 26772696 24134273 3431
100 316683 33503 31369 32
1000 19652567 2539918 2326299 324
100 289713 249567 241051 310
100 195005 26820 26249 22
10000 2239425910 2748653575 0 35299
100 270477 37070 34364 38
100 324338 95709 93696 147
10000 1796258305 23548526670 0 300675
10000 2880332380 383471072 0 4941
1000 11052109 11682631 11533221 1488
10000 953143331 1181802148 0 14998
1000 22219596 2831598 2626815 379
100 662391 418935 412934 525
100 549129 55645 52398 56
1000 23524963 279532860 273415639 33969
1000 21994575 240778063 238418169 29882
10000 1293260531 171221031 0 2195
100 582913 2895529 2660398 3736
10000 644584552 7673822136 0 100327
10000 1301166958 15126371452 0 199351
10000 968985762 11447264710 0 148413
100 656011 4112997 3845996 5240
0 2595 1102 381 5240
1000 46068699 3448009 3390591 494
10000 1588654526 1894576204 0 25041
100 194084 19286 27261 15
1000 33197936 376510562 328143662 49097
10000 309087001 385519829 0 5028
10000 1241261555 1574968011 0 20234
1000 15441023 19650371 19230873 2564
10000 2731344814 3443820106 0 45744
1000 24634838 295291712 257741006 38205
1000 17167395 193183350 167997117 24862
1000 11174208 1296833 1141612 163
100 485151 48280 46046 55
1000 6442420 823426 789632 111
100 566343 236835 234550 347
100 144011 692419 691638 1118
1000 4093391 37667076 37666184 4960
0 1773 450 190 4960
100 207780 19347 17453 11
100 120857 82275 80842 101
10000 301672665 3896457135 0 50340
100 479149 3766059 3559831 4734
1000 24153520 3166903 3083447 445
1000 30114477 35572870 34909816 4525
10000 2126358614 295506289 0 3857
1000 6515939 7640520 7527036 1027
